variable,line_num,filename,call_trace,line
maxdiffus3,934,./pencil-code/src/equ.f90,rhs_cpu -> rhs_cpu -> set_dt1_max,dt1_max_loc=0.; maxadvec=0.; maxdiffus=0.; maxdiffus2=0.; maxdiffus3=0.
maxadvec,938,./pencil-code/src/equ.f90,rhs_cpu -> rhs_cpu -> set_dt1_max,dt1_max_loc=0.; maxadvec=0.; maxdiffus=0.; maxdiffus2=0.; maxdiffus3=0.
maxdiffus,938,./pencil-code/src/equ.f90,rhs_cpu -> rhs_cpu -> set_dt1_max,dt1_max_loc=0.; maxadvec=0.; maxdiffus=0.; maxdiffus2=0.; maxdiffus3=0.
maxdiffus2,938,./pencil-code/src/equ.f90,rhs_cpu -> rhs_cpu -> set_dt1_max,dt1_max_loc=0.; maxadvec=0.; maxdiffus=0.; maxdiffus2=0.; maxdiffus3=0.
maxdiffus3,938,./pencil-code/src/equ.f90,rhs_cpu -> rhs_cpu -> set_dt1_max,dt1_max_loc=0.; maxadvec=0.; maxdiffus=0.; maxdiffus2=0.; maxdiffus3=0.
maxadvec,944,./pencil-code/src/equ.f90,rhs_cpu -> rhs_cpu -> set_dt1_max,dt1_max_loc=0.; maxadvec=0.; maxdiffus=0.; maxdiffus2=0.; maxdiffus3=0.
maxdiffus,944,./pencil-code/src/equ.f90,rhs_cpu -> rhs_cpu -> set_dt1_max,dt1_max_loc=0.; maxadvec=0.; maxdiffus=0.; maxdiffus2=0.; maxdiffus3=0.
maxdiffus2,944,./pencil-code/src/equ.f90,rhs_cpu -> rhs_cpu -> set_dt1_max,dt1_max_loc=0.; maxadvec=0.; maxdiffus=0.; maxdiffus2=0.; maxdiffus3=0.
maxdiffus3,944,./pencil-code/src/equ.f90,rhs_cpu -> rhs_cpu -> set_dt1_max,dt1_max_loc=0.; maxadvec=0.; maxdiffus=0.; maxdiffus2=0.; maxdiffus3=0.
dt1_max,947,./pencil-code/src/equ.f90,rhs_cpu -> rhs_cpu -> set_dt1_max,"dt1_max=max(dt1_max,dt1_max_loc)"
dt1_max_array,953,./pencil-code/src/equ.f90,rhs_cpu -> rhs_cpu -> set_dt1_max,"dt1_max_array(imn,:) = dt1_max"
